DATE,rate
1978/2/1,6.6448668
1978/3/1,6.3023293
1978/4/1,6.2671479
1978/5/1,6.2091676
1978/6/1,6.3033267
1978/7/1,6.2228908
1978/8/1,6.4901169
1978/9/1,6.2558153
1978/10/1,6.1630748
1978/11/1,6.3303154
1978/12/1,6.4049114
1979/1/1,6.3704936
1979/2/1,6.2571025
1979/3/1,6.3026078
1979/4/1,6.4979909
1979/5/1,6.2033104
1979/6/1,6.2509667
1979/7/1,6.2742216
1979/8/1,6.1178399
1979/9/1,6.2323568
1979/10/1,6.3835073
1979/11/1,6.0442925
1979/12/1,6.1197128
1980/1/1,6.1461894
1980/2/1,5.9986919
1980/3/1,5.936146
1980/4/1,6.1146439
1980/5/1,6.2454174
1980/6/1,6.3225038
1980/7/1,6.0774935
1980/8/1,6.1766746
1980/9/1,6.1406782
1980/10/1,6.0547908
1980/11/1,5.8497194
1980/12/1,6.0507248
1981/1/1,5.916251
1981/2/1,5.6165682
1981/3/1,5.7456068
1981/4/1,5.554529
1981/5/1,5.5883196
1981/6/1,5.3737433
1981/7/1,5.8274844
1981/8/1,5.8458252
1981/9/1,5.8117665
1981/10/1,5.8720795
1981/11/1,5.9945478
1981/12/1,6.0264751
1982/1/1,5.9824165
1982/2/1,6.308355
1982/3/1,6.3224746
1982/4/1,6.3332391
1982/5/1,6.5921154
1982/6/1,6.7664271
1982/7/1,6.8831432
1982/8/1,7.0112094
1982/9/1,7.429191
1982/10/1,8.2943527
1982/11/1,8.678759
1982/12/1,9.4013168
1983/1/1,9.299678
1983/2/1,9.6584286
1983/3/1,9.9505665
1983/4/1,10.1516698
1983/5/1,10.3221413
1983/6/1,10.2024014
1983/7/1,10.5218031
1983/8/1,10.218486
1983/9/1,10.337396
1983/10/1,10.0071581
1983/11/1,9.6534699
1983/12/1,9.4565547
1984/1/1,9.4979601
1984/2/1,9.3853795
1984/3/1,9.2074887
1984/4/1,9.3700959
1984/5/1,8.9357207
1984/6/1,9.0943736
1984/7/1,8.9191096
1984/8/1,8.8280997
1984/9/1,8.7345405
1984/10/1,8.6946749
1984/11/1,8.6785211
1984/12/1,8.5186795
1985/1/1,8.5498944
1985/2/1,8.3891641
1985/3/1,8.6647656
1985/4/1,8.4024495
1985/5/1,8.3751871
1985/6/1,8.5693573
1985/7/1,8.309719
1985/8/1,8.1551887
1985/9/1,8.0570856
1985/10/1,7.8479204
1985/11/1,7.949905
1985/12/1,7.7838719
1986/1/1,7.8046414
1986/2/1,8.0028617
1986/3/1,7.926477
1986/4/1,7.9009085
1986/5/1,7.8456913
1986/6/1,7.6517847
1986/7/1,8.1105304
1986/8/1,8.2388107
1986/9/1,8.337732
1986/10/1,8.309134
1986/11/1,8.3184247
1986/12/1,8.3625159
1987/1/1,8.1857571
1987/2/1,8.2110227
1987/3/1,8.4342825
1987/4/1,8.3004026
1987/5/1,8.200933
1987/6/1,8.007297
1987/7/1,8.0757341
1987/8/1,8.1051443
1987/9/1,7.7549479
1987/10/1,8.085401
1987/11/1,7.9307093
1987/12/1,7.7275469
